Sample_ID,Category,Type,Prompt_Length,Timestamp_ISO,TTFT_ms,TPS,Tokens,Duration_s,Peak_Mem_MB,Throttled_Flag,Waited_For_Cooling,Success,Error_Msg
B01,SelfIntro,Basic,14,2026-03-25T22:42:53.861193,17371.7878,8.7129,43,22.3070,1915.39,False,False,True,
B02,Knowledge,Basic,11,2026-03-25T22:42:56.397656,771.7118,8.2051,12,2.2342,1893.53,False,False,True,
B03,Concept,Basic,15,2026-03-25T22:43:01.349247,873.9388,8.7406,33,4.6494,1879.89,False,False,True,
B04,Geography,Basic,19,2026-03-25T22:43:21.353513,986.3276,8.3352,156,19.7020,1862.02,False,False,True,
B05,History,Basic,26,2026-03-25T22:43:24.982834,1232.6407,9.0715,19,3.3271,1834.27,False,False,True,
B06,Science,Basic,19,2026-03-25T22:43:35.342182,930.0532,8.4364,77,10.0571,1834.33,False,False,True,
B07,Culture,Basic,30,2026-03-25T22:44:05.895984,1266.0706,8.3835,243,30.2514,1832.03,False,False,True,
B08,Tech,Basic,21,2026-03-25T22:45:10.829244,1023.3753,7.1848,457,64.6301,1821.59,False,False,True,
B09,Life,Basic,16,2026-03-25T22:45:37.998666,902.8306,7.8184,203,26.8672,1823.14,False,False,True,
B10,Health,Basic,13,2026-03-25T22:46:01.753673,830.3950,8.4433,191,23.4518,1825.12,False,False,True,
B11,Idiom_Simple,Basic,15,2026-03-25T22:46:11.035062,937.6619,8.3318,67,8.9791,1823.50,False,False,True,
B12,Poetry_Simple,Basic,12,2026-03-25T22:46:38.678544,826.4987,8.2218,218,27.3413,1830.17,False,False,True,
B13,Math_Simple,Basic,13,2026-03-25T22:46:41.328983,804.8947,7.7753,12,2.3482,1820.95,False,False,True,
B14,Logic_Simple,Basic,29,2026-03-25T22:46:51.169231,1322.6652,8.3988,69,9.5381,1830.95,False,False,True,
B15,Translation,Basic,14,2026-03-25T22:46:55.503067,871.6726,8.5444,27,4.0316,1828.30,False,False,True,
B16,Color,Basic,19,2026-03-25T22:47:11.179790,867.3627,8.1339,118,15.3745,1837.61,False,False,True,
B17,Animal,Basic,23,2026-03-25T22:47:16.802508,1050.8471,8.4318,36,5.3204,1840.92,False,False,True,
B18,Sport,Basic,14,2026-03-25T22:47:26.653053,801.1482,8.3454,73,9.5484,1838.06,False,False,True,
B19,Music,Basic,11,2026-03-25T22:47:29.094631,746.6469,9.3345,13,2.1393,1829.64,False,False,True,
B20,Food,Basic,14,2026-03-25T22:47:53.322390,836.7288,8.3590,193,23.9255,1840.05,False,False,True,
