Sample_ID,Category,Type,Prompt_Length,Timestamp_ISO,TTFT_ms,TPS,Tokens,Duration_s,Peak_Mem_MB,Throttled_Flag,Waited_For_Cooling,Success,Error_Msg
B01,SelfIntro,Basic,14,2026-03-25T00:06:46.174829,23896.8148,31.7402,233,31.2377,2254.72,False,False,True,
B02,Knowledge,Basic,11,2026-03-25T00:07:53.913378,39146.6238,17.9928,509,67.4357,2211.20,False,False,True,
B03,Concept,Basic,15,2026-03-25T00:08:13.597434,14972.6536,35.6119,157,19.3813,2182.97,False,False,True,
B04,Geography,Basic,19,2026-03-25T00:10:21.096530,58518.8022,13.4402,923,127.1934,2180.25,False,False,True,
B05,History,Basic,26,2026-03-25T00:11:44.138929,52509.9645,20.3440,615,82.7400,2181.48,False,False,True,
B06,Science,Basic,19,2026-03-25T00:12:37.059505,37380.5952,26.1200,398,52.6180,2184.73,False,False,True,
B07,Culture,Basic,30,2026-03-25T00:13:52.622260,39434.8619,15.9385,571,75.2600,2185.19,False,False,True,
B08,Tech,Basic,21,2026-03-25T00:16:30.564900,61350.9517,11.2903,1086,157.5396,2184.92,False,False,True,
B09,Life,Basic,16,2026-03-25T00:18:26.234607,51098.0709,13.1485,845,115.3638,2185.91,False,False,True,
B10,Health,Basic,13,2026-03-25T00:20:23.507064,57759.6331,14.3894,852,116.9698,2186.61,False,False,True,
B11,Idiom_Simple,Basic,15,2026-03-25T00:21:52.673656,46884.7651,15.7697,662,88.8640,2185.77,False,False,True,
B12,Poetry_Simple,Basic,12,2026-03-25T00:23:01.726857,52089.3040,31.3902,523,68.7506,2184.22,False,False,True,
B13,Math_Simple,Basic,13,2026-03-25T00:26:58.116414,200313.7488,43.0831,1541,236.0818,2181.58,False,False,True,
B14,Logic_Simple,Basic,29,2026-03-25T00:28:14.924480,48434.4287,20.2726,569,76.5019,2183.36,False,False,True,
B15,Translation,Basic,14,2026-03-25T00:28:48.925152,29550.7989,62.4526,259,33.6979,2188.12,False,False,True,
B16,Color,Basic,19,2026-03-25T00:30:00.671860,43519.7737,19.4100,542,71.4436,2190.70,False,False,True,
B17,Animal,Basic,23,2026-03-25T00:31:05.539030,41638.5000,21.6789,497,64.5640,2192.16,False,False,True,
B18,Sport,Basic,14,2026-03-25T00:32:44.390125,52459.1250,15.7754,727,98.5435,2187.14,False,False,True,
B19,Music,Basic,11,2026-03-25T00:33:36.755161,44915.3769,55.9835,400,52.0603,2188.77,False,False,True,
B20,Food,Basic,14,2026-03-25T00:37:05.391786,77519.7473,10.6717,1396,208.3335,2191.52,False,False,True,
B21,Direction,Basic,14,2026-03-25T00:39:31.602838,61153.4767,12.0111,1018,145.9085,2173.94,False,False,True,
B22,Time,Basic,16,2026-03-25T00:40:21.192850,37252.9941,32.2409,388,49.2874,2184.52,False,False,True,
B23,Family,Basic,11,2026-03-25T00:41:22.091061,44609.4239,29.7814,476,60.5926,2184.19,False,False,True,
B24,Safety,Basic,17,2026-03-25T00:42:39.488320,33643.2292,13.4403,584,77.0947,2184.64,False,False,True,
B25,Internet,Basic,11,2026-03-25T00:44:02.184430,36961.7147,13.4488,611,82.3932,2190.53,False,False,True,
A01,Idiom,Advanced,27,2026-03-25T00:45:45.232874,48680.3212,13.7612,744,102.7453,2192.64,False,False,True,
A02,Polyphone,Advanced,32,2026-03-25T00:47:35.748583,54905.3214,14.4826,801,110.2132,2181.72,False,False,True,
A03,Poetry,Advanced,31,2026-03-25T00:48:24.495189,37607.5981,34.0509,369,48.4443,2183.89,False,False,True,
A04,Idiom,Advanced,27,2026-03-25T00:49:32.575925,43038.8381,20.6595,511,67.7733,2184.03,False,False,True,
A05,Chengyu,Advanced,22,2026-03-25T00:58:11.879449,471936.2612,60.7893,2861,519.0004,2186.12,False,False,True,
A06,Polyphone,Advanced,28,2026-03-25T01:00:42.437062,68753.8528,12.9814,1058,150.2551,2191.88,False,False,True,
A07,History_Detail,Advanced,27,2026-03-25T01:02:38.493399,64428.5333,16.2688,835,115.7538,2184.69,False,False,True,
A08,Literature,Advanced,27,2026-03-25T01:03:35.851769,33549.2868,18.6778,439,57.0532,2186.91,False,False,True,
A09,Idiom_Context,Advanced,32,2026-03-25T01:06:07.513293,62264.4093,11.8868,1059,151.3547,2190.20,False,False,True,
A10,Poetry_Analysis,Advanced,22,2026-03-25T01:08:11.540651,41823.4866,10.8301,887,123.7248,2185.64,False,False,True,
A11,Customs,Advanced,27,2026-03-25T01:09:20.508340,39776.7997,18.0006,520,68.6647,2185.08,False,False,True,
A12,Geography_Detail,Advanced,21,2026-03-25T01:10:19.554925,36324.2605,20.0747,450,58.7405,2185.02,False,False,True,
A13,Tech_Concept,Advanced,17,2026-03-25T01:11:49.008362,48194.6661,16.2368,665,89.1510,2185.14,False,False,True,
A14,Economy,Advanced,25,2026-03-25T01:14:25.049043,45381.2628,9.8411,1086,155.7345,2181.12,False,False,True,
A15,Law_Basic,Advanced,26,2026-03-25T01:18:43.769327,190761.4465,24.4175,1652,258.4177,2187.02,False,False,True,
A16,Emotion,Advanced,20,2026-03-25T01:19:59.744178,56717.9487,29.5975,561,75.6722,2206.94,False,False,True,
A17,Debate,Advanced,27,2026-03-25T01:23:30.708461,90579.3676,11.7503,1411,210.6612,2190.14,False,False,True,
A18,Art,Advanced,24,2026-03-25T01:26:31.049011,56031.6837,9.9188,1230,180.0382,2185.31,False,False,True,
A19,Medicine,Advanced,16,2026-03-25T01:30:26.492589,57209.1215,8.6609,1541,235.1360,2184.78,False,False,True,
A20,Env,Advanced,20,2026-03-25T01:32:32.358942,50553.6599,12.1317,910,125.5638,2184.28,False,False,True,
A21,Idiom_Opposite,Advanced,25,2026-03-25T01:34:56.208183,90460.2053,19.2536,1022,143.5411,2184.53,False,False,True,
A22,Proverb,Advanced,22,2026-03-25T01:36:40.480750,55785.9468,15.7521,759,103.9700,2184.92,False,False,True,
A23,Writing_Style,Advanced,17,2026-03-25T01:37:38.792958,53830.3676,107.4361,449,58.0096,2191.14,False,False,True,
A24,Logic_Train,Advanced,51,2026-03-25T01:43:27.866352,201412.6601,14.1289,2082,348.7704,2195.64,False,False,True,
A25,News_Summary,Advanced,48,2026-03-25T01:44:28.092634,56690.8355,140.5416,454,59.9212,2202.62,False,False,True,
A26,Tech_History,Advanced,21,2026-03-25T01:46:06.740476,42001.5717,12.9563,730,98.3448,2188.17,False,False,True,
A27,Space,Advanced,25,2026-03-25T01:47:14.147692,51022.9740,31.3404,504,67.1045,2187.27,False,False,True,
A28,Philosophy,Advanced,22,2026-03-25T01:49:08.681606,57072.3097,14.3286,819,114.2309,2190.52,False,False,True,
A29,Business,Advanced,21,2026-03-25T01:52:13.222717,105269.9723,15.9937,1263,184.2385,2188.45,False,False,True,
A30,Psychology,Advanced,21,2026-03-25T01:53:29.036955,38302.3641,15.5070,577,75.5115,2186.59,False,False,True,
A31,Travel,Advanced,26,2026-03-25T01:55:28.907675,45190.0089,11.6572,867,119.5648,2190.66,False,False,True,
A32,Food_Culture,Advanced,19,2026-03-25T01:57:47.624928,51566.7458,11.2265,975,138.4148,2188.69,False,False,True,
A33,Language_Nuance,Advanced,36,2026-03-25T01:59:47.459650,106538.2807,65.5693,852,119.5322,2194.69,False,False,True,
A34,Ethics,Advanced,30,2026-03-25T02:01:44.702870,48380.8074,12.4125,851,116.9405,2188.34,False,False,True,
A35,Future,Advanced,28,2026-03-25T02:04:24.087492,41009.2001,9.2659,1094,159.0770,2190.31,False,False,True,
C01,Logic,Complex,44,2026-03-25T02:29:57.055806,1432131.4781,69.0513,6942,1532.6654,2185.41,False,False,True,
C02,Math,Complex,45,2026-03-25T02:32:26.500388,131796.1848,59.7257,1036,149.1421,2195.69,False,False,True,
C03,Reasoning,Complex,28,2026-03-25T02:34:13.540273,83004.3287,32.3179,767,106.7373,2203.69,False,False,True,
