Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB,Throttle_Flag
0.0152,36.95,1500.0,284.0,0
0.2150,37.50,1900.0,312.9,0
0.4144,38.60,2400.0,324.1,0
0.6145,38.60,2400.0,359.5,0
0.8147,39.15,2400.0,393.3,0
1.0159,39.15,2400.0,441.1,0
1.2148,39.15,2400.0,454.4,0
1.4146,38.05,2400.0,496.8,0
1.6147,38.05,2400.0,539.4,0
1.8148,39.15,2400.0,527.8,0
2.0149,38.60,2400.0,577.9,0
2.2159,38.60,2400.0,611.9,0
2.4150,38.60,2400.0,609.0,0
2.6151,37.50,2400.0,649.9,0
2.8152,37.50,2400.0,636.3,0
3.0153,38.05,2400.0,668.3,0
3.2163,36.95,2400.0,699.6,0
3.4154,38.05,2400.0,707.8,0
3.6155,38.60,2400.0,756.6,0
3.8156,37.50,2400.0,775.6,0
4.0156,39.70,2400.0,780.7,0
4.2167,37.50,2400.0,814.6,0
4.4157,36.95,2400.0,804.5,0
4.6158,38.60,2400.0,844.0,0
4.8159,38.60,2400.0,863.0,0
5.0160,38.05,2400.0,868.4,0
5.2170,39.15,2400.0,888.3,0
5.4170,38.60,1500.0,891.5,0
5.6171,37.50,1500.0,928.2,0
5.8172,36.95,1500.0,952.6,0
6.0172,36.95,1500.0,963.6,0
6.2182,38.05,1500.0,989.7,0
6.4174,36.95,1500.0,988.4,0
6.6175,38.60,1500.0,1025.7,0
6.8175,38.05,1500.0,1045.4,0
7.0174,38.05,1500.0,1050.9,0
7.2186,38.05,1500.0,1077.7,0
7.4178,36.40,1500.0,1081.1,0
7.6186,37.50,1500.0,1123.0,0
7.8179,37.50,1500.0,1141.2,0
8.0180,38.05,1500.0,1153.2,0
8.2190,38.05,1500.0,1181.0,0
8.4181,38.05,1500.0,1176.6,0
8.6182,36.95,1500.0,1217.4,0
8.8181,36.40,1500.0,1245.6,0
9.0183,37.50,1500.0,1248.7,0
9.2193,38.05,1500.0,1277.0,0
9.4185,37.50,1500.0,1273.3,0
9.6186,37.50,1500.0,1312.8,0
9.8189,37.50,1500.0,1333.5,0
10.0187,37.50,1500.0,1337.7,0
10.2198,37.50,1500.0,1360.4,0
10.4188,36.95,1500.0,1366.1,0
10.6190,38.05,1500.0,1388.4,0
10.8191,37.50,1500.0,1386.2,0
11.0191,38.05,1500.0,1428.5,0
11.2202,37.50,1500.0,1449.4,0
11.4193,38.05,1500.0,1455.2,0
11.6193,38.05,1500.0,1472.9,0
11.8194,38.05,1500.0,1481.6,0
12.0195,36.95,1500.0,1517.2,0
12.2204,38.05,1500.0,1537.2,0
12.4196,37.50,1500.0,1540.4,0
12.6197,38.05,1500.0,1562.2,0
12.8200,37.50,1500.0,1561.3,0
13.0198,38.60,1500.0,1602.7,0
13.2211,37.50,1500.0,1622.9,0
13.4201,36.40,1500.0,1626.0,0
13.6201,37.50,1500.0,1650.1,0
13.8201,37.50,1500.0,1649.0,0
14.0203,38.60,1500.0,1691.6,0
14.2213,37.50,1500.0,1710.1,0
14.4207,38.05,1500.0,1714.5,0
14.6205,37.50,1500.0,1736.6,0
14.8205,36.95,1500.0,1735.8,0
15.0206,36.95,1500.0,1777.2,0
15.2219,37.50,1500.0,1795.9,0
15.4219,37.50,1500.0,1923.7,0
15.6274,39.15,1800.0,1925.3,0
15.8321,42.45,2400.0,1931.0,0
16.0207,42.45,2400.0,1931.4,0
16.2252,44.10,2400.0,1931.4,0
16.4246,45.20,2400.0,1934.0,0
16.6210,45.75,2400.0,1934.0,0
16.8210,45.20,2400.0,1933.2,0
17.0211,46.30,2400.0,1933.2,0
17.2257,46.30,2400.0,1933.2,0
17.4213,47.40,2400.0,1932.6,0
17.6212,47.95,2400.0,1932.6,0
17.8214,47.95,2400.0,1932.6,0
18.0246,49.05,2400.0,1932.6,0
18.2216,48.50,2400.0,1932.6,0
18.4218,49.05,2400.0,1931.0,0
18.6228,49.05,2400.0,1930.6,0
18.8219,47.40,2400.0,1930.6,0
19.0250,47.95,2400.0,1930.4,0
19.2268,47.95,2400.0,1931.2,0
19.4271,47.40,2400.0,1930.5,0
19.6234,47.40,2400.0,1929.8,0
19.8236,47.40,2400.0,1929.8,0
20.0300,47.95,2400.0,1929.8,0
20.2274,48.50,2400.0,1930.0,0
20.4321,48.50,2400.0,1928.8,0
20.6259,46.85,2400.0,1928.8,0
20.8251,47.40,2400.0,1929.0,0
21.0307,48.50,2400.0,1929.0,0
21.2352,46.85,2400.0,1929.0,0
21.4272,48.50,2400.0,1923.9,0
21.6273,47.95,2400.0,1925.3,0
21.8256,47.40,2400.0,1925.3,0
22.0269,49.05,2400.0,1925.3,0
22.2270,49.05,2400.0,1925.6,0
22.4297,49.05,2400.0,1922.0,0
