Task_ID,Start_Time_ISO,Elapsed_Min,TTFT_s,TPS,Tokens,Duration_s,Temp_End_C,Freq_End_MHz,Mem_Peak_MB,Success
0,2026-03-22T21:44:16.412393,1.7459,19.146,7.88,675,104.755,55.10,2400.0,1828.9,True
1,2026-03-22T21:45:55.281418,3.3937,0.440,7.34,722,98.807,63.35,2400.0,1831.2,True
2,2026-03-22T21:47:13.795130,4.7022,0.380,7.84,612,78.443,71.60,2400.0,1826.9,True
3,2026-03-22T21:48:55.399773,6.3957,0.436,7.26,734,101.542,76.00,2400.0,1827.5,True
4,2026-03-22T21:50:44.191286,8.2089,0.441,7.23,783,108.728,80.40,2400.0,1823.1,True
5,2026-03-22T21:52:13.142461,9.6914,0.443,7.35,650,88.888,82.05,2256.0,1828.3,True
6,2026-03-22T21:53:50.642489,11.3164,0.441,6.95,674,97.438,84.25,2146.0,1828.9,True
7,2026-03-22T21:55:29.362062,12.9618,0.446,6.28,617,98.657,84.25,2146.0,1825.8,True
8,2026-03-22T21:57:18.717880,14.7843,0.449,6.61,719,109.292,84.80,1500.0,1830.4,True
9,2026-03-22T21:58:51.636755,16.3330,0.455,6.75,624,92.856,85.35,1500.0,1832.3,True
