Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB
0.0132,32.00,1500.0,282.9
0.2129,32.55,2400.0,311.8
0.4140,33.10,2400.0,319.8
0.6130,33.65,2400.0,356.4
0.8132,33.10,2400.0,401.7
1.0131,33.10,2400.0,437.8
1.2132,33.65,2400.0,454.3
1.4141,34.75,2400.0,499.4
1.6132,32.55,2400.0,540.9
1.8133,32.00,2400.0,546.0
2.0134,33.10,2400.0,579.9
2.2134,33.10,2400.0,614.4
2.4144,32.55,2400.0,610.3
2.6135,32.55,2400.0,654.1
2.8136,31.45,2400.0,664.4
3.0137,31.45,2400.0,684.0
3.2137,33.10,2400.0,716.5
3.4148,33.10,2400.0,712.7
3.6139,32.55,2400.0,754.8
3.8140,33.10,2400.0,752.7
4.0140,33.10,2400.0,779.4
4.2141,31.45,2400.0,811.9
4.4152,32.55,2400.0,802.6
4.6144,32.55,2400.0,845.1
4.8143,31.45,2400.0,833.8
5.0144,34.20,2400.0,869.2
5.2168,32.55,1600.0,879.7
5.4160,32.55,1500.0,893.6
5.6151,32.55,1500.0,934.7
5.8151,32.55,1500.0,917.9
6.0152,32.55,1500.0,959.3
6.2154,32.00,1500.0,970.6
6.4164,32.00,1500.0,983.3
6.6154,30.90,1500.0,1023.5
6.8156,33.10,1500.0,1006.2
7.0155,31.45,1500.0,1048.8
7.2156,32.55,1500.0,1059.8
7.4166,31.45,1500.0,1073.1
7.6158,32.00,1500.0,1114.2
7.8159,32.55,1500.0,1099.3
8.0159,32.00,1500.0,1142.3
8.2160,32.55,1500.0,1120.5
8.4171,32.00,1500.0,1160.4
8.6162,32.00,1500.0,1173.4
8.8163,32.00,1500.0,1184.8
9.0163,31.45,1500.0,1227.6
9.2164,32.00,1500.0,1224.6
9.4175,32.00,1500.0,1256.7
9.6165,32.00,1500.0,1269.2
9.8166,32.00,1500.0,1281.9
10.0167,32.55,1500.0,1323.8
10.2167,32.00,1500.0,1306.4
10.4180,32.00,1500.0,1347.9
10.6170,32.55,1500.0,1352.6
10.8170,32.55,1500.0,1372.6
11.0171,30.90,1500.0,1415.1
11.2171,32.55,1500.0,1396.5
11.4182,31.45,1500.0,1436.8
11.6173,32.00,1500.0,1434.1
11.8174,32.55,1500.0,1462.2
12.0174,32.00,1500.0,1503.4
12.2175,32.55,1500.0,1483.0
12.4186,33.10,1500.0,1523.8
12.6176,32.00,1500.0,1514.8
12.8178,30.90,1500.0,1550.3
13.0178,32.55,1500.0,1585.3
13.2182,31.45,1500.0,1573.2
13.4191,32.00,1500.0,1614.9
13.6180,32.00,1500.0,1597.8
13.8180,30.90,1500.0,1643.6
14.0182,32.55,1500.0,1648.9
14.2182,32.55,1500.0,1668.5
14.4193,32.55,1500.0,1677.9
14.6184,32.00,1500.0,1690.0
14.8184,32.55,1500.0,1734.7
15.0184,32.55,1500.0,1717.8
15.2186,32.55,1500.0,1758.3
15.4197,32.55,1500.0,1772.0
15.6212,32.00,1800.0,1931.3
15.8225,33.10,1500.0,1931.8
16.0210,35.30,2400.0,1934.9
16.2211,38.05,2400.0,1937.8
16.4230,38.60,2400.0,1937.8
16.6212,38.05,2400.0,1937.8
16.8251,39.70,2400.0,1937.8
17.0214,40.25,2400.0,1937.8
17.2215,39.70,2400.0,1937.4
17.4215,40.80,2400.0,1937.4
17.6216,41.35,2400.0,1937.4
17.8217,42.45,2400.0,1937.4
18.0217,42.45,2400.0,1937.4
18.2219,41.35,2400.0,1934.6
18.4250,42.45,2400.0,1934.6
18.6220,43.55,2400.0,1934.6
18.8246,42.45,2400.0,1935.4
19.0233,43.55,2400.0,1935.4
19.2230,42.45,2400.0,1932.5
19.4244,43.00,2400.0,1934.0
19.6296,43.00,2400.0,1934.0
19.8237,42.45,2400.0,1934.0
20.0261,42.45,2400.0,1934.2
20.2256,40.80,2400.0,1933.2
20.4249,42.45,2400.0,1933.5
20.6240,41.90,2400.0,1933.5
20.8316,43.55,2400.0,1933.5
21.0251,41.35,2400.0,1933.7
21.2251,43.00,2400.0,1931.2
21.4256,43.00,2400.0,1931.2
21.6275,43.55,2400.0,1931.4
21.8259,43.00,2400.0,1931.4
22.0260,43.00,2400.0,1931.4
22.2294,43.00,2400.0,1925.0
22.4248,43.55,2400.0,1925.0
22.6265,43.00,2400.0,1925.3
22.8289,43.55,2400.0,1926.8
23.0290,41.90,2400.0,1926.6
23.2275,42.45,2400.0,1921.9
23.4264,44.10,2400.0,1921.5
23.6260,43.00,2400.0,1921.0
23.8254,42.45,2400.0,1921.2
24.0265,43.55,2400.0,1921.2
24.2259,43.55,2400.0,1913.5
24.4290,44.10,2400.0,1913.9
24.6295,44.10,2400.0,1913.9
24.8260,44.10,2400.0,1913.5
25.0298,43.00,2400.0,1913.8
25.2289,43.00,2400.0,1905.1
25.4273,43.55,2400.0,1904.9
25.6275,44.65,2400.0,1904.9
25.8301,44.10,2400.0,1904.9
26.0304,44.10,2400.0,1904.9
26.2306,44.10,2400.0,1896.3
26.4305,44.65,2400.0,1896.8
26.6313,44.65,2400.0,1896.8
26.8301,44.10,2400.0,1896.8
27.0332,44.65,2400.0,1896.8
27.2322,44.65,2400.0,1889.0
27.4310,44.65,2400.0,1889.0
27.6308,45.20,2400.0,1889.5
27.8320,43.55,2400.0,1889.9
28.0315,45.75,2400.0,1890.0
28.2320,44.10,2400.0,1882.3
28.4339,44.65,2400.0,1882.6
28.6351,43.55,2400.0,1882.6
28.8349,43.55,2400.0,1882.6
29.1347,44.65,2400.0,1879.9
29.2378,45.20,2400.0,1877.4
29.4357,44.65,2400.0,1877.3
29.6399,44.10,2400.0,1877.3
29.8373,44.65,2400.0,1877.3
30.0382,45.20,2400.0,1879.2
30.2362,45.20,2400.0,1873.8
30.4361,44.65,2400.0,1874.0
30.6377,45.20,2400.0,1876.0
30.8374,44.65,2400.0,1876.7
31.0373,44.65,2400.0,1876.5
31.2366,44.65,2400.0,1872.7
31.4431,45.20,2400.0,1873.4
31.6373,44.65,2400.0,1873.4
31.8379,45.75,2400.0,1873.8
32.0380,45.75,2400.0,1875.0
32.2365,44.65,2400.0,1870.5
32.4422,45.75,2400.0,1869.9
32.6374,45.20,2400.0,1870.7
32.8373,46.30,2400.0,1870.9
33.0378,46.30,2400.0,1872.4
33.2379,46.30,2400.0,1868.0
33.4377,46.85,2400.0,1868.5
33.6374,45.20,2400.0,1868.3
33.8402,45.75,2400.0,1868.7
34.0377,45.75,2400.0,1868.8
34.2378,46.30,2400.0,1864.5
34.4381,46.85,2400.0,1864.8
34.6382,46.30,2400.0,1864.6
34.8382,45.75,2400.0,1864.6
35.0390,46.85,2400.0,1864.6
35.2384,44.65,2400.0,1860.6
35.4389,46.85,2400.0,1861.2
35.6384,46.85,2400.0,1860.8
35.8379,44.65,2400.0,1861.3
36.0396,46.30,2400.0,1861.3
36.2394,45.20,2400.0,1856.6
36.4398,46.30,2400.0,1857.1
36.6452,46.85,2400.0,1857.1
36.8431,46.30,2400.0,1860.2
37.0419,47.40,2400.0,1861.6
37.2415,46.30,2400.0,1857.6
37.4401,46.85,2400.0,1857.6
37.6420,46.85,2400.0,1857.6
37.8403,47.40,2400.0,1857.6
38.0420,45.20,2400.0,1859.0
38.2409,46.85,2400.0,1855.7
38.4404,46.85,2400.0,1856.0
38.6428,46.85,2400.0,1856.0
38.8451,46.85,2400.0,1856.7
39.0400,47.40,2400.0,1857.5
39.2432,46.85,2400.0,1856.1
39.4458,46.85,2400.0,1856.9
39.6420,46.85,2400.0,1856.5
39.8423,46.85,2400.0,1856.5
40.0458,46.85,2400.0,1856.9
40.2434,45.75,2400.0,1853.6
40.4477,46.30,2400.0,1853.8
40.6463,45.75,2400.0,1853.8
40.8466,47.40,2400.0,1854.2
41.0480,46.85,2400.0,1854.7
41.2466,46.30,2400.0,1851.9
41.4482,47.40,2400.0,1851.9
41.6469,45.75,2400.0,1851.9
41.8498,47.40,2400.0,1851.9
42.0478,47.40,2400.0,1853.8
42.2508,47.40,2400.0,1851.3
42.4492,47.40,2400.0,1851.3
42.6463,47.95,2400.0,1851.3
42.8491,45.75,2400.0,1851.3
43.0494,47.40,2400.0,1851.3
43.2477,46.30,2400.0,1850.0
43.4515,47.95,2400.0,1850.4
43.6518,49.05,2400.0,1850.8
43.8546,47.40,2400.0,1851.7
44.0514,47.40,2400.0,1852.0
44.2503,47.40,2400.0,1849.5
44.4506,47.40,2400.0,1849.0
44.6525,47.40,2400.0,1849.0
44.8507,46.85,2400.0,1850.8
45.0573,47.40,2400.0,1851.0
45.2519,47.40,2400.0,1848.9
45.4516,49.05,2400.0,1848.9
45.6537,47.95,2400.0,1849.2
45.8512,47.95,2400.0,1849.5
46.0530,47.95,2400.0,1849.2
46.2566,47.40,2400.0,1848.5
46.4553,47.95,2400.0,1847.8
46.6555,47.40,2400.0,1847.7
46.8567,47.40,2400.0,1848.1
47.0566,48.50,2400.0,1849.7
47.2535,48.50,2400.0,1847.7
47.4598,46.85,2400.0,1847.2
47.6565,47.40,2400.0,1847.6
47.8547,47.95,2400.0,1847.6
48.0602,47.95,2400.0,1847.6
48.2579,46.85,2400.0,1846.8
48.4599,49.05,2400.0,1847.1
48.6611,46.85,2400.0,1847.5
48.8574,48.50,2400.0,1848.7
49.0593,47.40,2400.0,1848.7
49.2603,47.95,2400.0,1846.0
49.4632,49.05,2400.0,1845.8
49.6604,49.05,2400.0,1845.8
49.8613,48.50,2400.0,1846.2
50.0610,49.05,2400.0,1847.9
50.2650,49.05,2400.0,1843.6
50.4606,47.95,2400.0,1842.7
50.6657,48.50,2400.0,1843.1
50.8613,47.95,2400.0,1844.5
51.0608,48.50,2400.0,1844.8
51.2590,49.60,2400.0,1844.3
51.4619,49.05,2400.0,1844.3
51.6599,48.50,2400.0,1845.4
51.8612,48.50,2400.0,1845.1
52.0601,49.05,2400.0,1845.3
52.2613,49.05,2400.0,1843.5
52.4614,48.50,2400.0,1843.1
52.6649,47.95,2400.0,1842.9
52.8616,49.05,2400.0,1842.9
53.0599,48.50,2400.0,1844.5
53.2667,49.05,2400.0,1843.4
53.4620,48.50,2400.0,1843.0
53.6621,49.60,2400.0,1842.6
53.8621,49.05,2400.0,1842.8
54.0613,49.05,2400.0,1842.8
54.2625,49.05,2400.0,1841.2
54.4660,49.60,2400.0,1843.0
54.6662,50.15,2400.0,1843.8
54.8631,48.50,2400.0,1843.8
55.0659,49.60,2400.0,1844.5
55.2633,49.60,2400.0,1842.7
55.4632,47.95,2400.0,1842.3
55.6657,48.50,2400.0,1842.3
55.8634,49.60,2400.0,1842.8
56.0652,48.50,2400.0,1842.3
56.2633,49.60,2400.0,1842.1
56.4635,49.05,2400.0,1842.3
56.6646,49.05,2400.0,1842.3
56.8639,50.15,2400.0,1843.1
57.0665,49.60,2400.0,1842.6
57.2647,50.15,2400.0,1841.4
57.4664,49.05,2400.0,1841.4
57.6669,49.60,2400.0,1841.4
57.8658,48.50,2400.0,1842.6
58.0678,49.05,2400.0,1842.9
58.2674,48.50,2400.0,1840.6
58.4667,48.50,2400.0,1840.6
58.6714,50.15,2400.0,1840.9
58.8670,50.15,2400.0,1841.3
59.0671,49.60,2400.0,1841.4
59.2753,49.05,2400.0,1840.4
59.4678,50.70,2400.0,1840.7
59.6689,49.60,2400.0,1840.7
59.8662,50.15,2400.0,1841.5
60.0708,50.15,2400.0,1842.8
60.2681,49.60,2400.0,1840.7
60.4699,49.05,2400.0,1839.8
60.6705,49.05,2400.0,1839.8
60.8667,49.60,2400.0,1839.8
61.0686,49.05,2400.0,1840.1
61.2684,50.70,2400.0,1838.4
61.4744,50.15,2400.0,1838.7
61.6692,49.60,2400.0,1838.7
61.8740,49.60,2400.0,1839.8
62.0691,50.70,2400.0,1840.1
62.2686,49.05,2400.0,1839.0
62.4700,50.70,2400.0,1839.0
62.6705,51.25,2400.0,1839.8
62.8746,50.15,2400.0,1839.2
63.0699,50.70,2400.0,1839.6
63.2704,50.15,2400.0,1838.0
63.4708,50.70,2400.0,1838.0
63.6698,51.25,2400.0,1838.0
63.8743,50.70,2400.0,1837.1
64.0715,50.70,2400.0,1837.7
64.2713,50.70,2400.0,1838.3
64.4688,50.70,2400.0,1838.5
64.6707,50.70,2400.0,1838.8
64.8718,51.25,2400.0,1839.1
65.0758,50.70,2400.0,1839.0
65.2712,50.70,2400.0,1837.2
65.4715,50.70,2400.0,1837.2
65.6712,51.25,2400.0,1837.2
65.8715,51.25,2400.0,1838.3
66.0754,50.70,2400.0,1839.1
66.2728,51.80,2400.0,1836.9
66.4741,50.70,2400.0,1837.1
66.6722,51.25,2400.0,1837.1
66.8715,51.25,2400.0,1837.3
67.0746,50.70,2400.0,1837.3
67.2750,51.25,2400.0,1837.2
67.4753,51.80,2400.0,1837.9
67.6760,51.25,2400.0,1838.3
67.8749,51.25,2400.0,1838.9
68.0752,51.25,2400.0,1838.9
68.2771,50.70,2400.0,1837.4
68.4757,51.25,2400.0,1837.1
68.6749,50.70,2400.0,1837.3
68.8754,50.15,2400.0,1837.3
69.0756,51.25,2400.0,1837.7
69.2771,51.25,2400.0,1838.5
69.4762,51.80,2400.0,1838.5
69.6768,50.70,2400.0,1837.8
69.8785,51.25,2400.0,1837.8
70.0774,51.80,2400.0,1837.8
70.2791,50.15,2400.0,1837.2
70.4774,51.25,2400.0,1838.8
70.6812,52.35,2400.0,1839.4
70.8802,50.15,2400.0,1839.4
71.0804,51.80,2400.0,1840.1
71.2856,50.70,2400.0,1839.0
71.4782,50.70,2400.0,1839.0
71.6798,50.70,2400.0,1839.0
71.8783,52.35,2400.0,1839.0
72.0810,52.35,2400.0,1839.2
72.2783,52.35,2400.0,1837.8
