Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB
0.0133,28.70,1500.0,277.8
0.2847,30.35,2400.0,324.9
0.4132,31.45,2400.0,327.0
0.6141,31.45,2400.0,619.8
0.8130,31.45,2400.0,867.4
1.0131,30.35,2400.0,884.3
1.2132,31.45,2400.0,911.6
1.4133,29.25,2400.0,943.7
1.6133,30.90,2400.0,988.5
1.8134,30.35,2400.0,986.7
2.0135,30.90,2400.0,992.2
2.2135,30.90,2400.0,1057.2
2.4136,30.35,2400.0,1075.3
2.6138,29.80,2400.0,1073.6
2.8137,31.45,2400.0,1063.9
3.0138,30.90,2400.0,1110.2
3.2139,30.90,2400.0,1122.1
3.4139,29.80,2400.0,1124.1
3.6140,30.35,2400.0,1160.4
3.8141,30.35,2400.0,1201.5
4.0141,30.35,2400.0,1187.4
4.2142,30.90,2400.0,1208.0
4.4143,30.35,2400.0,1233.2
4.6143,30.90,2400.0,1285.6
4.8145,29.80,2400.0,1279.0
5.0145,29.80,2400.0,1312.2
5.2152,30.90,1600.0,1313.6
5.4151,30.35,1500.0,1309.1
5.6152,30.35,1500.0,1302.8
5.8153,29.80,1500.0,1318.1
6.0154,29.25,1500.0,1386.1
6.2154,29.80,1500.0,1400.2
6.4155,29.80,1500.0,1447.4
6.6166,30.35,1500.0,1456.4
6.8157,30.35,1500.0,1493.4
7.0158,29.25,1500.0,1493.9
7.2159,29.80,1500.0,1502.9
7.4159,28.70,1500.0,1538.7
7.6160,30.35,1500.0,1567.8
7.8160,30.35,1500.0,1556.0
8.0161,30.35,1500.0,1559.5
8.2162,29.80,1500.0,1559.7
8.4164,29.80,1600.0,1566.8
8.6163,28.70,1500.0,1597.6
8.8175,30.35,1500.0,1590.2
9.0165,30.35,1500.0,1649.4
9.2167,30.35,1500.0,1650.6
9.4167,30.35,1500.0,1666.1
9.6167,29.80,1500.0,1661.9
9.8168,30.90,1500.0,1722.6
10.0169,30.90,1500.0,1735.5
10.2170,29.80,1500.0,1759.3
10.4171,29.25,1500.0,1820.3
10.6171,30.35,1500.0,1819.5
10.8172,29.80,1500.0,1814.6
11.0183,29.25,1500.0,1806.7
11.2174,30.90,1500.0,1864.9
11.4174,30.90,1500.0,1903.4
11.6175,30.35,1500.0,1897.5
11.8176,30.35,1500.0,1900.8
12.0187,30.35,1500.0,1907.8
12.2178,30.90,1500.0,1918.1
12.4178,29.25,1500.0,1928.2
12.6179,29.80,1500.0,1950.4
12.8180,30.35,1500.0,1978.1
13.0181,30.35,1500.0,1984.1
13.2181,30.35,1500.0,2024.7
13.4182,30.35,1500.0,2026.8
13.6183,29.25,1500.0,2060.5
13.8185,29.80,1500.0,2063.3
14.0185,30.35,1500.0,2079.5
14.2186,29.25,1500.0,2114.0
14.4188,30.35,1500.0,2120.0
14.6190,30.35,1600.0,2163.0
14.8188,29.25,1500.0,2209.5
15.0190,29.80,1500.0,2215.5
15.2190,29.25,1500.0,2215.6
15.4191,28.70,1500.0,2218.1
15.6192,30.90,1500.0,2243.8
15.8192,30.35,1500.0,2250.8
16.0192,30.35,1500.0,2287.1
16.2201,29.80,1500.0,2286.7
16.4225,31.45,1900.0,2293.8
16.6211,33.10,2400.0,2293.6
16.8213,35.85,2400.0,2293.6
17.0213,36.40,2400.0,2293.6
17.2253,37.50,2400.0,2293.6
17.4214,36.40,2400.0,2293.6
17.6215,37.50,2400.0,2293.5
17.8216,38.05,2400.0,2293.5
18.0217,38.60,2400.0,2293.5
18.2228,38.05,2400.0,2293.5
18.4253,39.15,2400.0,2293.5
18.6219,39.70,2400.0,2293.5
18.8220,38.05,2400.0,2293.5
19.0221,39.70,2400.0,2293.5
19.2232,40.80,2400.0,2293.5
19.4223,39.70,2400.0,2293.5
19.6223,40.80,2400.0,2293.5
19.8252,41.35,2400.0,2293.5
20.0238,39.70,2400.0,2290.7
20.2262,39.70,2400.0,2291.0
20.4271,40.25,2400.0,2289.5
20.6257,41.90,2400.0,2289.2
20.8258,41.90,2400.0,2289.5
21.0289,41.35,2400.0,2289.9
21.2347,41.90,2400.0,2289.9
21.4258,41.90,2400.0,2290.1
21.6305,40.80,2400.0,2286.1
21.8310,40.80,2400.0,2286.1
22.0308,41.35,2400.0,2287.2
22.2315,42.45,2400.0,2287.2
22.4307,41.90,2400.0,2287.2
22.6307,41.90,2400.0,2284.8
22.8316,43.55,2400.0,2285.0
23.0331,43.00,2400.0,2285.0
23.2322,41.35,2400.0,2285.4
23.4310,43.55,2400.0,2285.5
23.6333,43.55,2400.0,2278.9
23.8307,41.90,2400.0,2278.2
24.0305,41.90,2400.0,2278.2
24.2343,43.55,2400.0,2278.4
24.4347,43.00,2400.0,2277.9
24.6350,43.55,2400.0,2267.2
24.8373,44.10,2400.0,2267.2
25.0351,41.90,2400.0,2267.0
25.2377,43.55,2400.0,2266.1
25.4383,42.45,2400.0,2266.1
